td01,td02,td03,cov_scaled,prec_scaled,catalog_idx,td01_true
-51.760361006321276,,,[[6.36416239]],[[0.15712987]],deblcdouble653,-43.84175854716554
-56.30150059454327,-63.994526164635076,-63.61392236580606,"[[ 6.5535241   4.25373003  4.28016326]
 [ 4.25373003 12.7910971   2.17966723]
 [ 4.28016326  2.17966723 12.74871246]]","[[ 0.24285476 -0.06887508 -0.06975867]
 [-0.06887508  0.10005883  0.00601642]
 [-0.06975867  0.00601642  0.10083094]]",deblcquad134,-60.424794683249345
-22.805301379410096,,,[[9.43594107]],[[0.10597777]],deblcdouble91,-18.44509652626538
-25.105495847929614,,,[[21.02403841]],[[0.0475646]],deblcdouble23,-26.20146314430765
-14.841736102625504,,,[[0.50270296]],[[1.98924631]],deblcdouble112,-14.414340542408612
-25.80676434156719,,,[[5.66255463]],[[0.17659874]],deblcdouble125,-31.858090922889787
-23.769940620472976,,,[[1.75590728]],[[0.56950615]],deblcdouble107,-23.710338023080705
-85.51037747174695,,,[[10.94721582]],[[0.09134743]],deblcdouble221,-76.5092019888138
1.1787466353713445,-4.70013849931515,-23.3953860651484,"[[16.02163372  1.88282146 11.78704155]
 [ 1.88282146 13.77774899 10.12149043]
 [11.78704155 10.12149043 53.26474491]]","[[ 0.07461289  0.00224686 -0.01693816]
 [ 0.00224686  0.08442424 -0.0165397 ]
 [-0.01693816 -0.0165397   0.02566533]]",deblcquad119,-2.596885173041082
-22.0754407322273,,,[[23.47434701]],[[0.04259969]],deblcdouble11,-15.69098776868782
-67.74152910031846,,,[[15.38331517]],[[0.06500549]],deblcdouble86,-73.91522887375993
-81.00393304735114,,,[[27.41686999]],[[0.03647389]],deblcdouble402,-79.29703606179292
-14.737778135577447,,,[[2.91970266]],[[0.34250063]],deblcdouble89,-13.476737560601393
-22.865624316308505,,,[[3.69912285]],[[0.27033436]],deblcdouble87,-22.626643702156212
-29.015797035618718,,,[[11.16728633]],[[0.08954727]],deblcdouble52,-17.800182020122516
-16.66656068083199,,,[[0.76402265]],[[1.30886172]],deblcdouble74,-16.501557018973642
-19.988800703453126,,,[[7.85495446]],[[0.12730819]],deblcdouble104,-14.313738606554343
-28.44642125408647,,,[[20.28062783]],[[0.04930814]],deblcdouble96,-36.33384188919988
-70.1000565501002,,,[[13.18591387]],[[0.07583851]],deblcdouble99,-67.89370059593577
-227.56417527184814,,,[[5.31887752]],[[0.18800959]],deblcdouble37,-225.02814857108703
-16.356943915830847,,,[[0.58227123]],[[1.71741268]],deblcdouble71,-11.614249449785603
-73.25993173998707,-109.8756460560215,-132.90347232861026,"[[ 8.07521666  4.70945017  3.28281186]
 [ 4.70945017 29.21098874 16.16931691]
 [ 3.28281186 16.16931691 26.35936727]]","[[ 0.13717979 -0.019168   -0.00532645]
 [-0.019168    0.05451212 -0.03105153]
 [-0.00532645 -0.03105153  0.05764811]]",deblcquad281,-63.00232967440813
-99.5122100667013,,,[[57.83893916]],[[0.01728939]],deblcdouble49,-92.91502130723762
-39.30683353964423,,,[[5.23141832]],[[0.19115275]],deblcdouble108,-42.326170947132034
-42.22588249562322,,,[[1.85343276]],[[0.5395394]],deblcdouble25,-39.38098291384603
-26.326596245231578,,,[[21.9846071]],[[0.04548637]],deblcdouble35,-13.84309736677691
-16.799187348461096,,,[[4.87010693]],[[0.2053343]],deblcdouble66,-19.57044420867644
-331.9852407289543,,,[[7.06668699]],[[0.14150903]],deblcdouble106,-332.26714634623534
-26.96163517859122,-23.879523831967447,-34.150621529229674,"[[18.88737012 14.58853669 14.40672983]
 [14.58853669 18.54642757 15.59642041]
 [14.40672983 15.59642041 32.39311219]]","[[ 0.13937615 -0.09662964 -0.01546248]
 [-0.09662964  0.1575964  -0.03290275]
 [-0.01546248 -0.03290275  0.05358945]]",deblcquad270,-30.081465087926333
-144.765717661276,,,[[28.64919305]],[[0.034905]],deblcdouble127,-144.27086944810688
-59.240446027546845,,,[[8.81205336]],[[0.11348093]],deblcdouble80,-60.21290133896005
-218.58462322744805,,,[[18.91196354]],[[0.05287658]],deblcdouble31,-223.28100213571116
-7.193750852985859,,,[[15.46466548]],[[0.06466354]],deblcdouble15,-13.955570608415288
-15.16320854482657,,,[[0.97846306]],[[1.02201099]],deblcdouble230,-13.142305546379468
-16.662961772936793,,,[[19.97667666]],[[0.05005838]],deblcdouble633,-16.546203150209593
-69.36907474913212,,,[[8.98726155]],[[0.1112686]],deblcdouble10,-73.02534067201164
-35.070619075562384,,,[[8.63268848]],[[0.11583877]],deblcdouble76,-38.87745616967862
-45.609670969180875,,,[[29.7349249]],[[0.03363049]],deblcdouble238,-53.79988537216095
-272.30110502500116,,,[[31.36889394]],[[0.03187871]],deblcdouble53,-265.4895977216655
-60.23512974613383,,,[[7.41833682]],[[0.1348011]],deblcdouble88,-58.3832621195233
-27.86367671619809,,,[[9.85518231]],[[0.10146946]],deblcdouble24,-9.497604322495546
